i, solutions, e^i
0, 0, 1.0
1, 1, 2.718281828459045
2, 2, 7.3890560989306495
3, 4, 20.085536923187664
4, 7, 54.59815003314423
5, 13, 148.41315910257657
6, 24, 403.428793492735
7, 44, 1096.6331584284583
8, 81, 2980.957987041727
9, 149, 8103.08392757538
